,AVE_GSW
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,3.0
8,21.0
9,42.0
10,338.0
11,440.0
12,434.0
13,282.0
14,96.0
15,124.0
16,11.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
