,hourly_wind_speed
26278,3.6
26279,3.5
26280,3.6
26281,3.6
26282,3.6
26283,3.5
26284,3.6
26285,3.9
26286,4.4
26287,4.6
26288,5.0
26289,5.0
26290,5.1
26291,5.0
26292,4.7
26293,4.2
26294,4.0
26295,3.9
26296,3.8
26297,3.8
26298,3.8
26299,3.7
26300,3.8
